Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
41948	50396	1.2729010581970217	1.6415339708328247	8448	0.3686329126358032	9	119770551	139864896	results/01_atlas/I0013	FAM001_ID001
3524	5210	0.128019	0.2001859992742538	1686	0.072166994	10	6033301	8525247	results/01_atlas/I0048	results/01_atlas/I0013
9059	12548	0.3481529951095581	0.4483689963817596	3489	0.1002160012722015	10	15305218	23145387	results/01_atlas/I0048	results/01_atlas/I0013
20118	27324	0.6393309831619263	0.8830779790878296	7206	0.2437469959259033	10	45328363	66508237	results/01_atlas/I0048	results/01_atlas/I0013
33282	37065	1.034082055091858	1.1356650590896606	3783	0.1015830039978027	10	80097033	88165453	results/01_atlas/I0048	results/01_atlas/I0013
48998	54319	1.4223400354385376	1.618312954902649	5321	0.1959729194641113	10	117722812	127711296	results/01_atlas/I0048	results/01_atlas/I0013
431	2437	0.010073	0.089149996638298	2006	0.079077	10	1335849	4260230	results/01_atlas/I0048	FAM001_ID001
20582	29323	0.6948670148849487	0.9280909895896912	8741	0.2332239747047424	10	49484476	71380174	results/01_atlas/I0048	FAM001_ID001
34693	38429	1.0833369493484497	1.1730259656906128	3736	0.089689016342163	10	82978314	91626071	results/01_atlas/I0048	FAM001_ID001
45339	47944	1.3311070203781128	1.394063949584961	2605	0.0629569292068481	10	109379879	115192482	results/01_atlas/I0048	FAM001_ID001
49003	53584	1.4232280254364014	1.5951470136642456	4581	0.1719189882278442	10	117728684	126172863	results/01_atlas/I0048	FAM001_ID001
56408	58760	1.7088940143585205	1.8091529607772827	2352	0.1002589464187622	10	130846332	135434303	results/01_atlas/I0048	FAM001_ID001
5074	15368	0.192153	0.5293400287628174	10294	0.33718702	10	8327496	29366521	results/01_atlas/I0013	FAM001_ID001
20648	30813	0.696241021156311	0.978421986103058	10165	0.2821809649467468	10	49753654	73440941	results/01_atlas/I0013	FAM001_ID001
38394	41634	1.172518014907837	1.2570879459381104	3240	0.0845699310302734	10	91581305	99727696	results/01_atlas/I0013	FAM001_ID001
43945	47715	1.3044990301132202	1.3854329586029053	3770	0.080933928489685	10	106144457	114812071	results/01_atlas/I0013	FAM001_ID001
48926	52768	1.4207240343093872	1.554021954536438	3842	0.1332979202270507	10	117550638	124866446	results/01_atlas/I0013	FAM001_ID001
53043	57831	1.5623270273208618	1.7676149606704712	4788	0.2052879333496093	10	125275458	133086163	results/01_atlas/I0013	FAM001_ID001
194	1637	0.010564	0.092799000442028	1443	0.082235	11	723429	4587253	results/01_atlas/I0048	results/01_atlas/I0013
3190	7105	0.1426820009946823	0.2647140026092529	3915	0.1220320016145706	11	6939319	13946865	results/01_atlas/I0048	results/01_atlas/I0013
9288	11100	0.3212980031967163	0.3934580087661743	1812	0.072160005569458	11	19400832	22296572	results/01_atlas/I0048	results/01_atlas/I0013
15766	20236	0.5167610049247742	0.6311820149421692	4470	0.114421010017395	11	34585490	44785286	results/01_atlas/I0048	results/01_atlas/I0013
22921	25367	0.6812630295753479	0.7442449927330017	2446	0.0629819631576538	11	60540224	68965036	results/01_atlas/I0048	results/01_atlas/I0013
195	2445	0.010588	0.1124230027198791	2250	0.101835005	11	729570	5608274	results/01_atlas/I0048	FAM001_ID001
3950	9887	0.1670940071344375	0.3456389904022217	5937	0.1785449832677841	11	8053159	20115523	results/01_atlas/I0048	FAM001_ID001
9971	13213	0.353653997182846	0.4510599970817566	3242	0.0974059998989105	11	20249251	27187360	results/01_atlas/I0048	FAM001_ID001
16344	19476	0.528311014175415	0.6072480082511902	3132	0.0789369940757751	11	35388144	43264509	results/01_atlas/I0048	FAM001_ID001
32735	37719	0.9278090000152588	1.0435359477996826	4984	0.1157269477844238	11	86730910	99218279	results/01_atlas/I0048	FAM001_ID001
40506	43700	1.0988730192184448	1.1748729944229126	3194	0.0759999752044677	11	105513061	113887138	results/01_atlas/I0048	FAM001_ID001
50037	54205	1.3987669944763184	1.5591139793395996	4168	0.1603469848632812	11	126443186	133876104	results/01_atlas/I0048	FAM001_ID001
4	2838	0.000142	0.1250839978456497	2834	0.124942	11	203788	6288282	results/01_atlas/I0013	FAM001_ID001
3094	10877	0.1407939940690994	0.3874930143356323	7783	0.2466990202665329	11	6766619	21668395	results/01_atlas/I0013	FAM001_ID001
16339	21227	0.5282710194587708	0.6529250144958496	4888	0.1246539950370788	11	35384432	47380593	results/01_atlas/I0013	FAM001_ID001
